TimesH,Frame,1,2,3,4,5,6
73.8,73.8,0.0006,0.0009,0.0014,0.0014,0.0003,0.0011
74.05,74.05,0.0007,0.0012,0.0012,0.0014,0.0005,0.001
74.3,74.3,0.001,0.001,0.0009,0.0012,0.0002,0.0013
74.55,74.55,0.001,0.0012,0.0013,0.0015,0.0005,0.0011
74.8,74.8,0.0005,0.0009,0.0007,0.0013,0.0001,0.0009
75.05,75.05,0.0009,0.0009,0.0011,0.0013,0.0002,0.0011
75.3,75.3,0.0007,0.001,0.0011,0.0016,0.0006,0.0013
75.55,75.55,0.0011,0.0009,0.0014,0.0014,0.0004,0.001
75.8,75.8,0.0005,0.0012,0.0007,0.0014,0.0001,0.0009
76.05,76.05,0.0006,0.0014,0.0011,0.0015,0.0004,0.0012
76.3,76.3,0.0008,0.0008,0.0009,0.001,0.0002,0.0007
76.55,76.55,0.0008,0.0011,0.0012,0.0014,0.0003,0.0011
76.8,76.8,0.001,0.0007,0.0011,0.0015,0.0003,0.0012
77.05,77.05,0.0007,0.0006,0.001,0.0014,0.0002,0.0009
77.3,77.3,0.0007,0.0012,0.001,0.0015,0.0003,0.001
77.55,77.55,0.0008,0.0009,0.0006,0.0013,0.0002,0.001
77.8,77.8,0.0011,0.001,0.0011,0.0013,0.0005,0.0008
78.05,78.05,0.0006,0.0006,0.0007,0.0013,0.0003,0.001
78.3,78.3,0.0008,0.0011,0.001,0.0014,0.0003,0.0009
78.55,78.55,0.0009,0.0009,0.0009,0.0009,0.0003,0.0007
78.8,78.8,0.0009,0.0008,0.0008,0.0012,0.0002,0.001
79.05,79.05,0.0009,0.0007,0.001,0.0013,0.0004,0.0012
79.3,79.3,0.0007,0.0006,0.0007,0.0011,0.0002,0.0006
79.55,79.55,0.0012,0.001,0.001,0.0012,0.0003,0.0012
79.8,79.8,0.0006,0.0006,0.0008,0.0012,0.0000423,0.0008
80.05,80.05,0.0008,0.0008,0.0012,0.0011,0.0004,0.0009
80.3,80.3,0.0009,0.0009,0.0007,0.0012,0.0002,0.0011
80.55,80.55,0.0005,0.0007,0.0009,0.001,0.0005,0.0011
80.8,80.8,0.0008,0.0012,0.001,0.0014,0.0005,0.0008
81.05,81.05,0.0005,0.0006,0.0006,0.0012,0.0005,0.0005
81.3,81.3,0.0009,0.0009,0.001,0.0011,0.0006,0.0009
81.55,81.55,0.0007,0.0006,0.0007,0.0011,0.0002,0.0005
81.8,81.8,0.0007,0.0007,0.0007,0.0011,0.0003,0.0009
82.05,82.05,0.0009,0.0007,0.001,0.001,0.0006,0.0008
82.3,82.3,0.0004,0.0007,0.0004,0.0009,0,0.0009
82.56,82.56,0.0009,0.0008,0.0009,0.0011,0.0002,0.0008
82.81,82.81,0.0007,0.0005,0.0009,0.0008,0.0002,0.0006
83.06,83.06,0.0008,0.0007,0.0005,0.001,0.0005,0.001
83.31,83.31,0.0007,0.0009,0.0008,0.001,0.0003,0.0005
83.56,83.56,0.0006,0.0005,0.0007,0.001,0.0005,0.0007
83.81,83.81,0.0011,0.0009,0.0009,0.0011,0.0004,0.0008
84.06,84.06,0.0006,0.0005,0.0006,0.001,0.0000698,0.0008
84.31,84.31,0.0007,0.0006,0.0008,0.001,0.0004,0.0008
84.56,84.56,0.0003,0.0008,0.0009,0.0011,0.0003,0.0008
84.81,84.81,0.0005,0.0005,0.0005,0.0008,0.0004,0.0008
85.06,85.06,0.0007,0.0007,0.0011,0.001,0.0007,0.0007
85.31,85.31,0.0005,0.0005,0.0006,0.0006,0.0001,0.0003
85.56,85.56,0.0008,0.0007,0.0005,0.0011,0.0003,0.0006
85.81,85.81,0.0009,0.0007,0.0007,0.0013,0.0001,0.0004
86.06,86.06,0.0005,0.0005,0.0004,0.0008,0.0001,0.0006
86.31,86.31,0.0008,0.0006,0.0008,0.0009,0.0006,0.0007
86.56,86.56,0.0008,0.0005,0.0007,0.0007,0.0002,0.0007
86.81,86.81,0.0008,0.0008,0.0008,0.0012,0.0004,0.0009
87.06,87.06,0.0004,0.0005,0.0005,0.0006,0.0000541,0.0006
87.31,87.31,0.0007,0.0005,0.0008,0.0008,0.0006,0.0006
87.56,87.56,0.0004,0.0005,0.0005,0.0008,0.000057,0.0007
87.81,87.81,0.0006,0.0005,0.0006,0.0009,0.0004,0.0006
88.06,88.06,0.0007,0.0013,0.0009,0.0009,0.0003,0.0007
88.31,88.31,0.0006,0.0002,0.0005,0.0007,0.0004,0.0003
88.56,88.56,0.0009,0.0004,0.0007,0.0008,0.0003,0.0006
88.81,88.81,0.0009,0.0006,0.0003,0.0009,0.0003,0.0003
89.06,89.06,0.0007,0.0005,0.0004,0.0005,0.0003,0.0006
89.31,89.31,0.0007,0.0009,0.0008,0.001,0.0005,0.0007
89.56,89.56,0.0007,0.0009,0.0002,0.0008,0.0002,0.0004
89.81,89.81,0.0008,0.0006,0.0006,0.001,0.0006,0.0007
90.06,90.06,0.0006,0.0006,0.0005,0.0012,0.0004,0.0005
90.31,90.31,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004
90.56,90.56,0.0006,0.0003,0.0004,0.0009,0.0002,0.0007
90.81,90.81,0.0006,0.0008,0.0005,0.001,0.0006,0.0009
91.06,91.06,0.0006,0.0003,0.0003,0.0008,0,0.0005
91.31,91.31,0.0006,0.0005,0.0001,0.0003,0.0003,0.0002
91.56,91.56,0.0006,0.0006,0.0006,0.0009,0.0002,0.0005
91.81,91.81,0.0006,0.0004,0.0006,0.0006,0.0002,0.0004
92.06,92.06,0.0007,0.0008,0.0006,0.0011,0.0002,0.0006
92.31,92.31,0.0007,0.0005,0.0008,0.0008,0.0002,0.0005
92.56,92.56,0.0007,0.0003,0.0003,0.0008,0.0001,0.0005
92.81,92.81,0.0005,0.0005,0.0002,0.0008,0.0003,0.0003
93.06,93.06,0.0008,0.001,0.0008,0.001,0.0005,0.0002
93.31,93.31,0.0004,0.0001,0.0002,0.0009,0.0003,0.0002
93.56,93.56,0.0008,0.0004,0.0006,0.0006,0.0003,0.0002
93.81,93.81,0.001,0.0005,0.0005,0.0012,0.0004,0.0008
94.06,94.06,0.0008,0.0002,0.0003,0.0009,0.0002,0.0004
94.31,94.31,0.0008,0.0002,0.0005,0.0005,0.0000904,0.0003
94.56,94.56,0.0008,0.0003,0.0006,0.0011,0.0005,0.0005
94.81,94.81,0.0009,0.0006,0.0004,0.001,0.0003,0.0005
95.06,95.06,0.0003,0.0006,0.0003,0.0006,0,0.0002
95.31,95.31,0.0007,0.0004,0.0006,0.0008,0.0005,0.0006
95.56,95.56,0.0008,0.0008,0.0006,0.0011,0.0003,0.0007
95.81,95.81,0.0011,0.0004,0.0003,0.0008,0.0002,0.0004
96.06,96.06,0.0012,0.0003,0.0003,0.0005,0.0000698,0.0002
96.31,96.31,0.0006,0.0003,0.0002,0.0008,0.0001,0.0004
96.56,96.56,0.0011,0.0004,0.0006,0.0006,0.0004,0.0005
96.81,96.81,0.001,0.0004,0.0006,0.0006,0.0002,0.0003
97.06,97.06,0.0006,0.0003,0.0005,0.0011,0.0005,0.0001
97.31,97.31,0.0012,0.0004,0.0007,0.0009,0.0004,0.0007
97.56,97.56,0.0009,0.0002,0.0004,0.0009,0.0003,0.0002
97.82,97.82,0.0003,0.0003,0.0000619,0.0009,0.0003,0.0003
98.07,98.07,0.0014,0.0002,0.0007,0.0009,0.0005,0.0004
98.32,98.32,0.0011,0.0005,0.0004,0.0009,0.0005,0.0003
98.57,98.57,0.0006,0.0000855,0.0005,0.0005,0.0005,0.0001
98.82,98.82,0.0011,0.0005,0.0006,0.0008,0.0006,0.0005
99.07,99.07,0.0008,0.0002,0.0004,0.0007,0.0002,0.0004
99.32,99.32,0.0005,0.0006,0.0003,0.0007,0.0002,0.0004
99.57,99.57,0.0011,0.0005,0.0006,0.0009,0.0007,0.0004
99.82,99.82,0.0008,0.0002,0.0003,0.0005,0.0008,0
100.07,100.07,0.0006,0.0004,0.0006,0.0005,0.0003,0.0003
100.32,100.32,0.0011,0.0006,0.0005,0.001,0.0003,0.0004
100.57,100.57,0.0005,0.0003,0.0005,0.0008,0.0003,0.0003
100.82,100.82,0.0006,0.0003,0.0005,0.001,0.0006,0.0004
101.07,101.07,0.0009,0.0006,0.0004,0.0011,0.0003,0.0005
101.32,101.32,0.0006,0.0002,0.0002,0.0006,0.0003,0.0000462
101.57,101.57,0.0011,0.0006,0.0002,0.001,0.0003,0.0004
101.82,101.82,0.0008,0.0002,0.0007,0.0007,0.0003,0.0004
102.07,102.07,0.0006,0.0006,0.0002,0.0004,0,0.0003
102.32,102.32,0.001,0.0004,0.0004,0.0012,0.0002,0.0006
102.57,102.57,0.0007,0.0007,0.0002,0.0008,0.0003,0.0002
102.82,102.82,0.0005,0.0003,0.0000501,0.0006,0.0000167,0.0005
103.07,103.07,0.0011,0.0005,0.0005,0.0009,0.0003,0.0007
103.32,103.32,0.0007,0.0004,0.0001,0.0006,0,0
103.57,103.57,0.0002,0.0003,0.0001,0.0005,0.0003,0.0002
103.82,103.82,0.0009,0.0002,0.0006,0.0008,0.0006,0.0006
104.07,104.07,0.0007,0.0000629,0.0004,0.0002,0.0002,0.0006
104.32,104.32,0.0005,0.0000305,0.0000875,0.0009,0.0000845,0.0004
104.57,104.57,0.0009,0.0006,0.0009,0.001,0.0004,0.0008
104.82,104.82,0.0008,0.0001,0.0005,0.0005,0.0003,0.0000285
105.07,105.07,0.0007,0.0006,0.0005,0.0008,0.0003,0.0004
105.32,105.32,0.0009,0.0006,0.0005,0.001,0.0005,0.0004
105.57,105.57,0.0006,0.0003,0.0001,0.0004,0.0002,0.0001
105.82,105.82,0.0005,0.0007,0.0007,0.0009,0.0003,0.0004
106.07,106.07,0.0007,0.0002,0.0005,0.0005,0.0003,0.0001
106.32,106.32,0.0006,0.0005,0.0003,0.0005,0.0003,0.0001
106.57,106.57,0.0006,0.0005,0.0002,0.0011,0.0003,0.0005
106.82,106.82,0.0007,0.0004,0.0003,0.0004,0.0003,0.0002
107.07,107.07,0.0006,0.0004,0.0003,0.0005,0.0003,0.0002
107.32,107.32,0.0007,0.0005,0.0003,0.0008,0.0003,0.0005
107.57,107.57,0.0007,0.0003,0.0002,0.0007,0,0.00000885
107.82,107.82,0.0006,0.0002,0.0002,0.0004,0.0004,0.0003
108.07,108.07,0.0009,0.0009,0.0005,0.0006,0.0004,0.0006
108.32,108.32,0.0005,0.0002,0.0000737,0.0006,0.0002,0.0003
108.57,108.57,0.0009,0.0002,0.0004,0.0007,0.0002,0.0004
108.82,108.82,0.0007,0.0006,0.0003,0.0009,0.0004,0.0004
109.07,109.07,0.0003,0.0001,0.0000334,0.0004,0.0003,0
109.32,109.32,0.0008,0.0003,0.0005,0.0007,0.0003,0.0005
109.57,109.57,0.0008,0.0007,0.0004,0.0009,0.0005,0.0005
109.82,109.82,0.0006,0.0000806,0.0003,0.0001,0.0004,0.0003
110.07,110.07,0.001,0.0003,0.0005,0.0005,0.0005,0.0004
110.32,110.32,0.0009,0.0004,0.0002,0.0004,0.0005,0.0003
110.57,110.57,0.0005,0.0004,0.0002,0.0007,0.0002,0.0005
110.82,110.82,0.0007,0.0003,0.0004,0.0008,0.0006,0.0004
111.07,111.07,0.0007,0.0005,0.0005,0.0006,0.0005,0.0000482
111.32,111.32,0.0006,0.0004,0.0004,0.0004,0.0005,0.0005
111.57,111.57,0.0007,0.0006,0.0007,0.0006,0.0005,0.0004
111.82,111.82,0.0005,0.0003,0.0003,0.0002,0.0003,0
112.07,112.07,0.0005,0.0003,0.0006,0.0007,0.0002,0.0003
112.32,112.32,0.0008,0.0006,0.0005,0.0005,0.0004,0.0004
112.57,112.57,0.0004,0.0002,0.0000619,0.0004,0.0001,0.0003
112.83,112.83,0.0011,0.0006,0.0002,0.0007,0.0005,0.0005
113.08,113.08,0.0006,0.0004,0.0007,0.0005,0.0000934,0.0002
113.33,113.33,0.0004,0.0004,0,0.0004,0.0001,0.0001
113.58,113.58,0.0009,0.0000885,0.0002,0.0004,0.0001,0.0008
113.83,113.83,0.0008,0.0002,0.0005,0.0002,0.0007,0.0004
114.08,114.08,0.0008,0.0003,0.0007,0.0004,0.0006,0.0004
114.33,114.33,0.0007,0.0003,0.0002,0.0002,0.0003,0.0003
114.58,114.58,0.0009,0.0004,0.0004,0.0005,0.0003,0.0005
114.83,114.83,0.0004,0.0003,0.0002,0.0006,0.000058,0.0004
115.08,115.08,0.0007,0.0001,0.0003,0.0002,0.0004,0.0004
115.33,115.33,0.001,0.0003,0.0006,0.0006,0.0005,0.0005
115.58,115.58,0.0006,0.0003,0.0002,0.0002,0.0001,0.0002
115.83,115.83,0.0008,0.0000688,0.0004,0.0004,0.0002,0.0004
116.08,116.08,0.0009,0.0006,0.0004,0.0008,0.0004,0.0005
116.33,116.33,0.0008,0.0007,0.0007,0.0006,0.0004,0.0004
116.58,116.58,0.0009,0.0000128,0.0004,0.0002,0.0001,0.0003
116.83,116.83,0.0004,0.0002,0,0.0002,0.0001,0.0002
117.08,117.08,0.0006,0.0007,0.0007,0.0003,0.0004,0.0002
117.33,117.33,0.001,0.0002,0.0007,0.0004,0.0003,0.0003
117.58,117.58,0.0008,0.0004,0.0004,0.0003,0.0003,0.0003
117.83,117.83,0.0011,0.0005,0.0006,0.0006,0.0005,0.0006
118.08,118.08,0.0017,0.0007,0.0005,0.0009,0.001,0.0006
118.33,118.33,0.0009,0.0007,0.0008,0.0005,0.0012,0.0005
118.58,118.58,0.0008,0.0006,0.0005,0.0007,0.0005,0.0004
118.83,118.83,0.001,0.0003,0.0005,0.0004,0.0003,0.0004
119.08,119.08,0.001,0.0003,0.0004,0.0002,0.0003,0.0001
119.33,119.33,0.001,0.0005,0.0004,0.0006,0.0005,0.0004
119.58,119.58,0.001,0.0008,0.0005,0.0006,0.0005,0.0003
119.83,119.83,0.0006,0.0002,0.0000462,0,0.0000374,0.0001
120.08,120.08,0.0007,0,0.0005,0.0004,0.0005,0.0000059
120.33,120.33,0.0007,0.0002,0.0003,0.0001,0.0002,0.0003
120.58,120.58,0.001,0.0004,0.0004,0.0005,0.0005,0.0004
120.83,120.83,0.001,0.0001,0.0003,0.0003,0.0002,0.0003
121.08,121.08,0.0008,0.0003,0.0003,0.0002,0.0004,0.0003
121.33,121.33,0.0006,0.0002,0.0002,0.0004,0.0003,0.0003
121.58,121.58,0.0007,0.0005,0.0003,0.0004,0.0001,0.0002
121.83,121.83,0.001,0.0005,0.0002,0.0006,0.0001,0.0007
122.08,122.08,0.0007,0.0003,0.0002,0.0002,0.0001,0.0002
122.33,122.33,0.0004,0.0004,0.0000944,0.0003,0.0001,0.0003
122.58,122.58,0.0009,0.0003,0.0006,0.0003,0.0005,0.0004
122.83,122.83,0.0005,0.0002,0.0004,0,0.0003,0
123.08,123.08,0.0009,0.0002,0.0004,0.0002,0.0004,0.0005
123.33,123.33,0.0006,0,0.0003,0.0003,0.0005,0.0002
123.58,123.58,0.0009,0.0001,0.0005,0.0002,0.0005,0.0004
123.83,123.83,0.001,0.0003,0.0003,0.0004,0.0003,0.0002
124.08,124.08,0.001,0.0002,0.0005,0.0002,0.0004,0.0002
124.33,124.33,0.0007,0.0002,0.0005,0.0000737,0.0003,0
124.58,124.58,0.0009,0.0005,0.0004,0.0005,0.0002,0.0005
124.83,124.83,0.0011,0.0006,0.0003,0.0005,0.0003,0.0003
125.08,125.08,0.0009,0.0000452,0.0003,0.0003,0.0004,0.0005
125.33,125.33,0.0009,0.0004,0.0006,0.0004,0.0007,0.0004
125.58,125.58,0.0009,0.0000472,0.0001,0.0000157,0.0001,0.0003
125.83,125.83,0.0009,0.0005,0.0002,0.0004,0.0004,0.0006
126.08,126.08,0.0007,0.0003,0.0002,0.0003,0.0002,0.0003
126.33,126.33,0.0008,0.0002,0.0003,0.0002,0.0004,0.0002
126.58,126.58,0.001,0.0002,0.0003,0.0002,0.0005,0.0004
126.83,126.83,0.0007,0.0003,0.0003,0.0005,0.0002,0.0005
127.08,127.08,0.0012,0.0005,0.0006,0.0004,0.0005,0.0005
127.33,127.33,0.0007,0.0003,0.0002,0,0.0003,0.0002
127.58,127.58,0.0008,0.0005,0.0003,0.0004,0.0003,0.0005
127.84,127.84,0.001,0.0000118,0.0000826,0.0000796,0.0005,0.0002
128.09,128.09,0.0009,0.0003,0.0005,0.0006,0.0004,0.0003
128.34,128.34,0.0005,0.0003,0.0000521,0.0000963,0.0000924,0.0002
128.59,128.59,0.0007,0.0006,0.0003,0.0003,0.0004,0.0004
128.84,128.84,0.0007,0.0003,0,0.0003,0.0001,0.0003
129.09,129.09,0.0006,0.0005,0.0003,0.0004,0.0005,0.0001
129.34,129.34,0.0009,0.0002,0.0004,0.0004,0.0003,0.0002
129.59,129.59,0.0007,0.0003,0.0001,0.0003,0.0003,0.0004
129.84,129.84,0.0007,0.0007,0.0005,0.0006,0.0004,0.0004
130.09,130.09,0.0005,0,0.0001,0.0001,0.0000668,0.0000167
130.34,130.34,0.0008,0.0003,0.0005,0.0004,0.0004,0.0007
130.59,130.59,0.001,0.0004,0.0003,0.0000777,0.0004,0.0002
130.84,130.84,0.0006,0.0001,0.0005,0.0002,0.0005,0.0002
131.09,131.09,0.0007,0.0005,0.0004,0.0003,0.0005,0.0002
131.34,131.34,0.0002,0.0004,0.0000128,0.0003,0.0000118,0.0002
131.59,131.59,0.001,0.0004,0.0002,0.0005,0.0003,0.0004
131.84,131.84,0.0006,0.0001,0.0000904,0,0.0003,0
132.09,132.09,0.0006,0.0005,0.0005,0.0004,0.0003,0.0006
132.34,132.34,0.0009,0.0002,0.0002,0.0003,0,0.0004
132.59,132.59,0.0007,0.0000393,0.0002,0.0003,0.0003,0.0003
132.84,132.84,0.0012,0.0004,0.0005,0.0003,0.0005,0.0003
133.09,133.09,0.0005,0.0000609,0.0000295,0.0003,0.0000334,0.0002
133.34,133.34,0.0006,0.0007,0.0004,0.0008,0.0005,0.0007
133.59,133.59,0.0007,0.0003,0.0002,0.0002,0.0002,0.0000816
133.84,133.84,0.0007,0.0004,0.0003,0.0002,0.0005,0.0002
134.09,134.09,0.0009,0.0006,0.0006,0.0004,0.0005,0.0007
134.34,134.34,0.0006,0,0.0004,0.0001,0.0003,0.0001
134.59,134.59,0.0007,0.0003,0.0003,0.0006,0.0003,0.0006
134.84,134.84,0.001,0.0004,0.0004,0.0005,0.0003,0.0003
135.09,135.09,0.0004,0.0004,0.0000285,0.0002,0.0002,0.0004
135.34,135.34,0.001,0.0005,0.0005,0.0005,0.0005,0.0005
135.59,135.59,0.0007,0.0002,0.0002,0.0002,0.0003,0
135.84,135.84,0.001,0.0004,0.0003,0.0004,0.0002,0.0004
136.09,136.09,0.0006,0.0005,0.0000491,0.0005,0.0003,0.0004
136.34,136.34,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003
136.59,136.59,0.0006,0.0007,0.0002,0.0007,0.0004,0.0005
136.84,136.84,0.0006,0,0.0002,0.0000816,0.0000157,0.0003
137.09,137.09,0.0007,0.0006,0.0003,0.0005,0.0005,0.0002
137.34,137.34,0.0006,0.0003,0.0001,0.0001,0.0001,0.0004
137.59,137.59,0.0008,0.0001,0.0006,0.0003,0.0004,0.0002
137.84,137.84,0.001,0.0004,0.0005,0.0003,0.0005,0.0004
138.09,138.09,0.0007,0.0004,0.0001,0.0002,0.0004,0.0003
138.34,138.34,0.0009,0.0007,0.0003,0.001,0.0003,0.0005
138.59,138.59,0.0006,0.0003,0.0000845,0.0003,0.0000482,0.0001
138.84,138.84,0.0008,0.0005,0.0005,0.0004,0.0004,0.0004
139.09,139.09,0.0005,0.0003,0.000056,0.0002,0.0000374,0.0004
139.34,139.34,0.001,0.0001,0.0004,0.0003,0.0005,0.0003
139.59,139.59,0.0007,0.0003,0.0001,0.0003,0,0.0003
139.84,139.84,0.0005,0.0003,0.0001,0.0003,0,0.0002
140.09,140.09,0.0007,0.0001,0.0005,0.0002,0.0005,0.0005
140.34,140.34,0.0007,0.0005,0.0003,0.0005,0.0005,0.0002
140.59,140.59,0.0004,0.0003,0.0003,0.0000462,0,0.0004
140.84,140.84,0.0008,0.0004,0.0001,0.0005,0.0005,0.0005
141.09,141.09,0.0005,0.0003,0.0003,0.0000324,0.0002,0.0003
141.34,141.34,0.0006,0.0004,0.0005,0.00006,0.0005,0.0009
141.59,141.59,0.0009,0.0004,0.0003,0.0006,0.0003,0.0006
141.84,141.84,0.0006,0.00000197,0.0005,0.0002,0.0002,0.0001
142.09,142.09,0.0007,0.0004,0.0005,0.0003,0.0006,0.0005
142.34,142.34,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001
142.59,142.59,0.0007,0.0004,0.0002,0.0005,0.0002,0.0006
142.85,142.85,0.0006,0.0003,0.0003,0.0002,0.0005,0.0002
143.1,143.1,0.0006,0.0004,0.0006,0.0003,0.0004,0.0004
143.35,143.35,0.0008,0.0002,0.0004,0.0005,0.0000973,0.0004
143.6,143.6,0.0006,0.0003,0.0002,0.0003,0.0000541,0.0001
143.85,143.85,0.0009,0.0005,0.0004,0.0005,0.0004,0.0004
144.1,144.1,0.0005,0.0003,0.0002,0.0001,0.0001,0.0000246
144.35,144.35,0.001,0.0006,0.0002,0.0006,0.0005,0.0008
144.6,144.6,0.0008,0,0.0003,0,0.0003,0
144.85,144.85,0.0005,0.0004,0.0002,0.0005,0.0004,0.0004
